timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567531785145,192,home817 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,743,469,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,192,0,0
1567531785337,697,home816 /qa/content?size=4&page=1&order=trend,200,OK,Thread Group 1-1,text,true,,743,469,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,697,0,249
1567531786034,268,home824 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,6180,757,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,267,0,0
1567531786303,222,home820 /qa/content?size=2&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,491,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,222,0,0
1567531786526,259,home818 /qa/content?size=1&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,491,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,259,0,0
1567531786786,413,home825 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,4619,755,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,413,0,0
1567531787200,632,home821 /qa/content?size=1&page=1&order=recent&type=magazine,200,OK,Thread Group 1-1,text,true,,743,484,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,632,0,0
1567531787832,753,home823 /qa/content,200,OK,Thread Group 1-1,text,true,,26384,757,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,720,0,198
1567531788585,387,home822 /qa/content,200,OK,Thread Group 1-1,text,true,,16640,761,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,380,0,0
1567531788973,289,home819 /qa/content,200,OK,Thread Group 1-1,text,true,,14839,758,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,289,0,0
1567531789262,542,home828 /qa/content,200,OK,Thread Group 1-1,text,true,,7973,779,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,542,0,0
1567531789804,491,home829 /qa/content,200,OK,Thread Group 1-1,text,true,,2587,779,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,491,0,0
1567531790296,1134,home831 /qa/content,200,OK,Thread Group 1-1,text,true,,1349,772,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,1134,0,921
1567531791433,456,noomis503 /home,200,OK,Thread Group 1-1,text,true,,3272,485,1,1,https://qa.noomis.febraban.org.br/home,456,0,187
1567531791889,345,noomis540 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1006,502,1,1,https://accounts.google.com/o/oauth2/iframe,344,0,244
1567531792235,948,noomis531 /qa/content,200,OK,Thread Group 1-1,text,true,,26384,455,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,946,0,243
1567531793184,213,noomis530 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,6291,455,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,213,0,0
1567531793398,225,noomis526 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,427,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,225,0,0
1567531793623,477,noomis528 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,4619,453,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,477,0,0
1567531794101,426,noomis527 /qa/content,200,OK,Thread Group 1-1,text,true,,16640,459,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,426,0,0
1567531794528,612,noomis529 /qa/content,200,OK,Thread Group 1-1,text,true,,14839,456,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,612,0,169
1567531795141,289,noomis565 /qa/content,200,OK,Thread Group 1-1,text,true,,1349,470,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,289,0,0
1567531795431,278,noomis560 /qa/content,200,OK,Thread Group 1-1,text,true,,2587,477,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,278,0,0
1567531795710,520,noomis561 /qa/content,200,OK,Thread Group 1-1,text,true,,7973,477,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,520,0,0
